 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Período:Jun-Dez/2024
"Município";"Internações"
"430490 CASCA";545
"430510 CAXIAS DO SUL";15905
"430520 CERRO LARGO";407
"430530 CHAPADA";213
"430535 CHARQUEADAS";818
"430540 CHIAPETTA";208
"430570 CONDOR";327
"430580 CONSTANTINA";340
"430590 CORONEL BICACO";258
"430600 CRISSIUMAL";758
"430610 CRUZ ALTA";3648
"430620 CRUZEIRO DO SUL";114
"430630 DAVID CANABARRO";187
"430640 DOIS IRMAOS";1114
"430645 DOIS LAJEADOS";679
"430650 DOM FELICIANO";283
"430660 DOM PEDRITO";1190
"430680 ENCANTADO";1674
"430690 ENCRUZILHADA DO SUL";1421
"430700 ERECHIM";8344
"430710 HERVAL";87
"430750 ESPUMOSO";847
"430760 ESTANCIA VELHA";907
"430770 ESTEIO";4143
"430780 ESTRELA";2493
"430790 FARROUPILHA";3908
"430800 FAXINAL DO SOTURNO";1459
"430820 FLORES DA CUNHA";486
"430840 FORMIGUEIRO";135
"430850 FREDERICO WESTPHALEN";2192
"430860 GARIBALDI";1743
"430870 GAURAMA";98
"430890 GETULIO VARGAS";1351
"430900 GIRUA";643
"430910 GRAMADO";1986
"430920 GRAVATAI";4609
"430925 GUABIJU";31
"430930 GUAIBA";1549
"430940 GUAPORE";1041
"430950 GUARANI DAS MISSOES";357
"430960 HORIZONTINA";814
"430970 HUMAITA";183
"431000 IBIRUBA";602
"431010 IGREJINHA";3134
"431020 IJUI";7400
"431030 ILOPOLIS";153
"431050 IRAI";548
"431060 ITAQUI";1516
"431075 IVORA";99
"431080 IVOTI";681
"431085 JABOTICABA";331
"431100 JAGUARAO";1171
"431110 JAGUARI";685
"431112 JAQUIRANA";39
"431120 JULIO DE CASTILHOS";446
"431130 LAGOA VERMELHA";919
"431140 LAJEADO";4512
"431150 LAVRAS DO SUL";108
"431180 MARAU";1272
"431190 MARCELINO RAMOS";250
"431205 MARQUES DE SOUZA";331
"431210 MATA";87
"431220 MAXIMILIANO DE ALMEIDA";287
"431240 MONTENEGRO";3512
"431250 MOSTARDAS";88
"431260 MUCUM";89
"431265 NAO-ME-TOQUE";723
"431270 NONOAI";1406
"431290 NOVA BASSANO";330
"431300 NOVA BRESCIA";225
"431310 NOVA PALMA";574
"431320 NOVA PETROPOLIS";793
"431330 NOVA PRATA";1164
"431340 NOVO HAMBURGO";8412
"431350 OSORIO";2948
"431360 PAIM FILHO";315
"431365 PALMARES DO SUL";189
"431370 PALMEIRA DAS MISSOES";2022
"431380 PALMITINHO";783
"431390 PANAMBI";1397
"431400 PARAI";231
"431402 PARAISO DO SUL";253
"431405 PAROBE";5298
"431410 PASSO FUNDO";19770
"431420 PEDRO OSORIO";283
"431430 PEJUCARA";54
"431440 PELOTAS";12537
"431447 PINHAL GRANDE";71
"431450 PINHEIRO MACHADO";162
"431460 PIRATINI";1268
"431470 PLANALTO";548
"431480 PORTAO";1237
"431490 PORTO ALEGRE";107382
"431500 PORTO LUCENA";302
"431510 PORTO XAVIER";291
"431515 PROGRESSO";467
"431520 PUTINGA";113
"431530 QUARAI";870
"431535 QUINZE DE NOVEMBRO";146
"431550 RESTINGA SECA";371
"431560 RIO GRANDE";8210
"431570 RIO PARDO";2175
"431575 RIOZINHO";90
"431580 ROCA SALES";139
"431590 RODEIO BONITO";1643
"431600 ROLANTE";858
"431610 RONDA ALTA";1382
"431620 RONDINHA";177
"431630 ROQUE GONZALES";192
"431640 ROSARIO DO SUL";1869
"431643 SALDANHA MARINHO";30
"431645 SALTO DO JACUI";332
"431650 SALVADOR DO SUL";99
"431660 SANANDUVA";1384
"431670 SANTA BARBARA DO SUL";367
"431680 SANTA CRUZ DO SUL";6699
"431690 SANTA MARIA";14912
"431710 SANT'ANA DO LIVRAMENTO";3068
"431720 SANTA ROSA";6018
"431730 SANTA VITORIA DO PALMAR";948
"431740 SANTIAGO";2605
"431750 SANTO ANGELO";4549
"431760 SANTO ANTONIO DA PATRULHA";1388
"431780 SANTO AUGUSTO";1687
"431790 SANTO CRISTO";868
"431800 SAO BORJA";3040
"431810 SAO FRANCISCO DE ASSIS";789
"431820 SAO FRANCISCO DE PAULA";708
"431830 SAO GABRIEL";4050
"431840 SAO JERONIMO";4740
"431843 SAO JOAO DO POLESINE";159
"431850 SAO JOSE DO NORTE";456
"431860 SAO JOSE DO OURO";669
"431870 SAO LEOPOLDO";9024
"431880 SAO LOURENCO DO SUL";2268
"431890 SAO LUIZ GONZAGA";2887
"431900 SAO MARCOS";645
"431910 SAO MARTINHO";148
"431915 SAO MIGUEL DAS MISSOES";314
"431930 SAO PAULO DAS MISSOES";255
"431940 SAO PEDRO DO SUL";581
"431950 SAO SEBASTIAO DO CAI";679
"431960 SAO SEPE";996
"431980 SAO VICENTE DO SUL";14
"431990 SAPIRANGA";3512
"432000 SAPUCAIA DO SUL";5013
"432010 SARANDI";1373
"432020 SEBERI";1009
"432026 SEGREDO";224
"432030 SELBACH";149
"432040 SERAFINA CORREA";439
"432050 SERTAO";532
"432060 SEVERIANO DE ALMEIDA";139
"432067 SINIMBU";258
"432070 SOBRADINHO";178
"432080 SOLEDADE";1517
"432090 TAPEJARA";1425
"432100 TAPERA";624
"432110 TAPES";111
"432120 TAQUARA";2826
"432130 TAQUARI";823
"432140 TENENTE PORTELA";4702
"432145 TEUTONIA";2028
"432150 TORRES";2550
"432160 TRAMANDAI";3774
"432170 TRES COROAS";671
"432180 TRES DE MAIO";1386
"432190 TRES PASSOS";2135
"432195 TRINDADE DO SUL";487
"432200 TRIUNFO";460
"432210 TUCUNDUVA";438
"432220 TUPANCIRETA";561
"432230 TUPARENDI";281
"432240 URUGUAIANA";3427
"432250 VACARIA";3940
"432253 VALE DO SOL";470
"432260 VENANCIO AIRES";3071
"432270 VERA CRUZ";437
"432280 VERANOPOLIS";1414
"432290 VIADUTOS";143
"432300 VIAMAO";3485
"500020 AGUA CLARA";230
"500060 AMAMBAI";1433
"500070 ANASTACIO";526
"500080 ANAURILANDIA";195
"500085 ANGELICA";253
"500090 ANTONIO JOAO";228
"500100 APARECIDA DO TABOADO";994
"500110 AQUIDAUANA";3475
"500124 ARAL MOREIRA";180
"500150 BANDEIRANTES";30
"500190 BATAGUASSU";671
"500210 BELA VISTA";735
"500215 BODOQUENA";113
"500220 BONITO";735
"500230 BRASILANDIA";343
"500240 CAARAPO";723
"500260 CAMAPUA";138
"500270 CAMPO GRANDE";52712
"500280 CARACOL";163
"500290 CASSILANDIA";745
"500295 CHAPADAO DO SUL";1258
"500315 CORONEL SAPUCAIA";232
"500320 CORUMBA";4256
"500325 COSTA RICA";1387
"500330 COXIM";1949
"500345 DEODAPOLIS";138
"500348 DOIS IRMAOS DO BURITI";170
"500370 DOURADOS";14540
"500375 ELDORADO";268
"500380 FATIMA DO SUL";1492
"500400 GLORIA DE DOURADOS";313
"500410 GUIA LOPES DA LAGUNA";366
"500430 IGUATEMI";1436
"500440 INOCENCIA";188
"500450 ITAPORA";255
"500460 ITAQUIRAI";495
"500470 IVINHEMA";1057
"500500 JARDIM";948
"500510 JATEI";51
"500515 JUTI";154
"500525 LAGUNA CARAPA";100
"500540 MARACAJU";2077
"500560 MIRANDA";685
"500568 MUNDO NOVO";743
"500570 NAVIRAI";2529
"500580 NIOAQUE";100
"500600 NOVA ALVORADA DO SUL";399
"500620 NOVA ANDRADINA";2493
"500625 NOVO HORIZONTE DO SUL";147
"500630 PARANAIBA";2758
"500635 PARANHOS";512
"500640 PEDRO GOMES";78
"500660 PONTA PORA";5261
"500690 PORTO MURTINHO";261
"500710 RIBAS DO RIO PARDO";333
"500720 RIO BRILHANTE";1430
"500730 RIO NEGRO";132
"500740 RIO VERDE DE MATO GROSSO";292
"500755 SANTA RITA DO PARDO";148
"500769 SAO GABRIEL DO OESTE";1317
"500770 SETE QUEDAS";85
"500790 SIDROLANDIA";1332
"500793 SONORA";455
"500795 TACURU";196
"500797 TAQUARUSSU";80
"500830 TRES LAGOAS";6814
"500840 VICENTINA";195
"510020 AGUA BOA";3349
"510025 ALTA FLORESTA";3198
"510030 ALTO ARAGUAIA";361
"510060 ALTO TAQUARI";242
"510080 APIACAS";124
"510125 ARAPUTANGA";215
"510130 ARENAPOLIS";811
"510140 ARIPUANA";909
"510170 BARRA DO BUGRES";711
"510180 BARRA DO GARCAS";2336
"510190 BRASNORTE";908
"510250 CACERES";7377
"510260 CAMPINAPOLIS";391
"510263 CAMPO NOVO DO PARECIS";1364
"510267 CAMPO VERDE";2265
"510268 CAMPOS DE JULIO";378
"510270 CANARANA";739
"510305 CLAUDIA";402
"510310 COCALINHO";393
"510320 COLIDER";2026
"510325 COLNIZA";980
"510330 COMODORO";585
"510335 CONFRESA";2493
"510337 COTRIGUACU";324
"510340 CUIABA";32091
"510350 DIAMANTINO";930
"510360 DOM AQUINO";189
"510385 GAUCHA DO NORTE";33
"510390 GENERAL CARNEIRO";121
"510410 GUARANTA DO NORTE";1521
"510420 GUIRATINGA";172
"510460 ITIQUIRA";154
"510480 JACIARA";1066
"510500 JAURU";37
"510510 JUARA";1372
"510515 JUINA";2396
"510517 JURUENA";311
"510520 JUSCIMEIRA";502
"510525 LUCAS DO RIO VERDE";4022
"510550 VILA BELA DA SANTISSIMA TRINDADE";985
"510558 MARCELANDIA";373
"510560 MATUPA";683
"510562 MIRASSOL D'OESTE";539
"510590 NOBRES";730
"510610 NOSSA SENHORA DO LIVRAMENTO";36
"510622 NOVA MUTUM";4931
"510623 NOVA OLIMPIA";342
"510625 NOVA XAVANTINA";1135
"510627 NOVO HORIZONTE DO NORTE";139
"510628 NOVO SAO JOAQUIM";466
"510629 PARANAITA";910
"510630 PARANATINGA";654
"510637 PEDRA PRETA";261
"510642 PEIXOTO DE AZEVEDO";1537
"510650 POCONE";1215
"510670 PONTE BRANCA";68
"510675 PONTES E LACERDA";2725
"510680 PORTO DOS GAUCHOS";358
"510700 POXOREO";938
"510704 PRIMAVERA DO LESTE";3294
"510706 QUERENCIA";970
"510718 RIBEIRAO CASCALHEIRA";168
"510719 RIBEIRAOZINHO";18
"510720 RIO BRANCO";29
"510730 SAO JOSE DO RIO CLARO";518
"510760 RONDONOPOLIS";16212
"510770 ROSARIO OESTE";533
"510775 SALTO DO CEU";43
"510777 SANTA TEREZINHA";297
"510785 SAO FELIX DO ARAGUAIA";1115
"510787 SAPEZAL";859
"510790 SINOP";5817
"510792 SORRISO";4295
"510794 TABAPORA";188
"510795 TANGARA DA SERRA";3476
"510800 TAPURAH";88
"510805 TERRA NOVA DO NORTE";300
"510810 TESOURO";41
"510820 TORIXOREU";261
"510840 VARZEA GRANDE";7953
"510860 VILA RICA";596
"520013 ACREUNA";259
"520025 AGUAS LINDAS DE GOIAS";326
"520030 ALEXANIA";1050
"520060 ALTO PARAISO DE GOIAS";97
"520080 ALVORADA DO NORTE";445
"520085 AMERICANO DO BRASIL";175
"520090 AMORINOPOLIS";113
"520110 ANAPOLIS";13438
"520130 ANICUNS";240
"520140 APARECIDA DE GOIANIA";16994
"520160 ARACU";78
"520170 ARAGARCAS";507
"520215 ARAGUAPAZ";34
"520235 ARENOPOLIS";76
"520250 ARUANA";232
"520280 AVELINOPOLIS";10
"520320 BARRO ALTO";260
"520330 BELA VISTA DE GOIAS";751
"520350 BOM JESUS DE GOIAS";1303
"520380 BRITANIA";156
"520390 BURITI ALEGRE";198
"520400 CABECEIRAS";48
"520410 CACHOEIRA ALTA";463
"520425 CACHOEIRA DOURADA";190
"520430 CACU";470
"520440 CAIAPONIA";853
"520450 CALDAS NOVAS";1854
"520465 CAMPINACU";174
"520470 CAMPINORTE";156
"520480 CAMPO ALEGRE DE GOIAS";10
"520490 CAMPOS BELOS";396
"520500 CARMO DO RIO VERDE";77
"520505 CASTELANDIA";12
"520510 CATALAO";3996
"520520 CATURAI";66
"520530 CAVALCANTE";221
"520540 CERES";4791
"520547 CHAPADAO DO CEU";514
"520549 CIDADE OCIDENTAL";23
"520551 COCALZINHO DE GOIAS";313
"520570 CORREGO DO OURO";84
"520580 CORUMBA DE GOIAS";113
"520590 CORUMBAIBA";145
"520620 CRISTALINA";959
"520630 CRISTIANOPOLIS";56
"520640 CRIXAS";188
"520650 CROMINIA";67
"520660 CUMARI";23
"520670 DAMIANOPOLIS";134
"520680 DAMOLANDIA";61
"520710 DIORAMA";145
"520725 DOVERLANDIA";11
"520740 EDEIA";235
"520750 ESTRELA DO NORTE";29
"520753 FAINA";184
"520760 FAZENDA NOVA";148
"520780 FIRMINOPOLIS";280
"520800 FORMOSA";4777
"520810 FORMOSO";172
"520840 GOIANAPOLIS";151
"520850 GOIANDIRA";15
"520860 GOIANESIA";2114
"520870 GOIANIA";93143
"520880 GOIANIRA";1296
"520890 GOIAS";1019
"520910 GOIATUBA";869
"520929 GUARAITA";4
"520960 HEITORAI";154
"520970 HIDROLANDIA";732
"520980 HIDROLINA";101
"520990 IACIARA";533
"520993 INACIOLANDIA";71
"520995 INDIARA";1971
"521000 INHUMAS";1009
"521010 IPAMERI";245
"521020 IPORA";435
"521040 ITABERAI";1005
"521060 ITAGUARU";89
"521080 ITAJA";207
"521090 ITAPACI";779
"521100 ITAPIRAPUA";268
"521120 ITAPURANGA";928
"521130 ITARUMA";308
"521140 ITAUCU";267
"521150 ITUMBIARA";8260
"521160 IVOLANDIA";31
"521180 JARAGUA";2882
"521190 JATAI";2318
"521200 JAUPACI";103
"521210 JOVIANIA";166
"521220 JUSSARA";395
"521250 LUZIANIA";5383
"521260 MAIRIPOTABA";43
"521270 MAMBAI";89
"521280 MARA ROSA";153
"521290 MARZAGAO";30
"521295 MATRINCHA";151
"521300 MAURILANDIA";114
"521308 MINACU";1209
"521310 MINEIROS";2545
"521350 MONTE ALEGRE DE GOIAS";70
"521370 MONTES CLAROS DE GOIAS";59
"521375 MONTIVIDIU";200
"521380 MORRINHOS";2628
"521385 MORRO AGUDO DE GOIAS";120
"521390 MOSSAMEDES";49
"521400 MOZARLANDIA";538
"521405 MUNDO NOVO";600
"521410 MUTUNOPOLIS";87
"521450 NEROPOLIS";2002
"521460 NIQUELANDIA";749
"521483 NOVA CRIXAS";364
"521520 NOVO BRASIL";52
"521530 ORIZONA";281
"521550 OUVIDOR";69
"521560 PADRE BERNARDO";99
"521565 PALESTINA DE GOIAS";74
"521570 PALMEIRAS DE GOIAS";174
"521580 PALMELO";75
"521590 PALMINOPOLIS";50
"521630 PARANAIGUARA";500
"521640 PARAUNA";239
"521680 PETROLINA DE GOIAS";196
"521710 PIRACANJUBA";813
"521720 PIRANHAS";279
"521730 PIRENOPOLIS";1951
"521740 PIRES DO RIO";667
"521760 PLANALTINA";1976
"521770 PONTALINA";466
"521800 PORANGATU";1703
"521805 PORTEIRAO";47
"521810 PORTELANDIA";67
"521830 POSSE";194
"521850 QUIRINOPOLIS";2769
"521860 RIALMA";319
"521878 RIO QUENTE";79
"521880 RIO VERDE";9422
"521890 RUBIATABA";429
"521900 SANCLERLANDIA";187
"521910 SANTA BARBARA DE GOIAS";52
"521920 SANTA CRUZ DE GOIAS";22
"521925 SANTA FE DE GOIAS";25
"521930 SANTA HELENA DE GOIAS";4926
"521950 SANTA ROSA DE GOIAS";62
"521960 SANTA TEREZA DE GOIAS";58
"521970 SANTA TEREZINHA DE GOIAS";147
"521973 SANTO ANTONIO DE GOIAS";132
"521975 SANTO ANTONIO DO DESCOBERTO";274
"521980 SAO DOMINGOS";182
"522010 SAO LUIS DE MONTES BELOS";3356
"522015 SAO LUIZ DO NORTE";39
"522020 SAO MIGUEL DO ARAGUAIA";2451
"522040 SAO SIMAO";863
"522045 SENADOR CANEDO";2442
"522050 SERRANOPOLIS";101
"522060 SILVANIA";837
"522068 SIMOLANDIA";73
"522100 TAQUARAL DE GOIAS";49
"522140 TRINDADE";4020
"522145 TROMBAS";66
"522150 TURVANIA";143
"522155 TURVELANDIA";62
"522160 URUACU";11317
"522170 URUANA";194
"522185 VALPARAISO DE GOIAS";855
"522200 VIANOPOLIS";484
"522205 VICENTINOPOLIS";178
"530010 BRASILIA";141070
"Total";8233753
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
