 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Período:Jun-Dez/2024
"Município";"Internações"
"221060 SAO RAIMUNDO NONATO";3845
"221070 SIMOES";788
"221080 SIMPLICIO MENDES";466
"221100 TERESINA";54483
"221110 UNIAO";925
"221120 URUCUI";1135
"221130 VALENCA DO PIAUI";1640
"230020 ACARAU";2357
"230030 ACOPIARA";809
"230040 AIUABA";189
"230060 ALTANEIRA";55
"230070 ALTO SANTO";214
"230075 AMONTADA";138
"230080 ANTONINA DO NORTE";46
"230090 APUIARES";80
"230100 AQUIRAZ";1352
"230110 ARACATI";2979
"230120 ARACOIABA";1217
"230125 ARARENDA";95
"230130 ARARIPE";393
"230140 ARATUBA";148
"230150 ARNEIROZ";38
"230160 ASSARE";232
"230170 AURORA";1353
"230180 BAIXIO";21
"230185 BANABUIU";173
"230190 BARBALHA";10010
"230195 BARREIRA";58
"230200 BARRO";223
"230210 BATURITE";1101
"230220 BEBERIBE";728
"230230 BELA CRUZ";394
"230240 BOA VIAGEM";1509
"230250 BREJO SANTO";6122
"230260 CAMOCIM";2476
"230270 CAMPOS SALES";401
"230280 CANINDE";3394
"230290 CAPISTRANO";74
"230300 CARIDADE";68
"230310 CARIRE";121
"230320 CARIRIACU";237
"230330 CARIUS";317
"230340 CARNAUBAL";581
"230350 CASCAVEL";1069
"230360 CATARINA";219
"230365 CATUNDA";85
"230370 CAUCAIA";5568
"230380 CEDRO";1315
"230390 CHAVAL";39
"230393 CHORO";61
"230395 CHOROZINHO";106
"230400 COREAU";156
"230410 CRATEUS";6308
"230420 CRATO";8532
"230423 CROATA";382
"230425 CRUZ";610
"230426 DEPUTADO IRAPUAN PINHEIRO";94
"230427 ERERE";23
"230428 EUSEBIO";2546
"230430 FARIAS BRITO";336
"230440 FORTALEZA";126095
"230445 FORTIM";149
"230450 FRECHEIRINHA";177
"230460 GENERAL SAMPAIO";35
"230470 GRANJA";1095
"230480 GRANJEIRO";49
"230490 GROAIRAS";53
"230495 GUAIUBA";68
"230500 GUARACIABA DO NORTE";634
"230510 GUARAMIRANGA";13
"230520 HIDROLANDIA";288
"230523 HORIZONTE";1147
"230526 IBARETAMA";72
"230530 IBIAPINA";974
"230540 ICO";2793
"230550 IGUATU";4777
"230560 INDEPENDENCIA";182
"230565 IPAPORANGA";163
"230570 IPAUMIRIM";82
"230580 IPU";1547
"230590 IPUEIRAS";752
"230600 IRACEMA";265
"230610 IRAUCUBA";280
"230620 ITAICABA";31
"230625 ITAITINGA";306
"230630 ITAPAGE";633
"230640 ITAPIPOCA";7142
"230650 ITAPIUNA";63
"230655 ITAREMA";695
"230670 JAGUARETAMA";864
"230680 JAGUARIBARA";332
"230690 JAGUARIBE";923
"230700 JAGUARUANA";314
"230710 JARDIM";311
"230720 JATI";95
"230725 JIJOCA DE JERICOACOARA";255
"230730 JUAZEIRO DO NORTE";11378
"230740 JUCAS";543
"230750 LAVRAS DA MANGABEIRA";1305
"230760 LIMOEIRO DO NORTE";8312
"230763 MADALENA";129
"230765 MARACANAU";10784
"230770 MARANGUAPE";1439
"230780 MARCO";516
"230790 MARTINOPOLE";139
"230800 MASSAPE";346
"230810 MAURITI";1424
"230820 MERUOCA";115
"230830 MILAGRES";2522
"230835 MILHA";144
"230840 MISSAO VELHA";1459
"230850 MOMBACA";1355
"230860 MONSENHOR TABOSA";439
"230870 MORADA NOVA";1264
"230880 MORAUJO";37
"230890 MORRINHOS";95
"230900 MUCAMBO";429
"230910 MULUNGU";146
"230920 NOVA OLINDA";121
"230930 NOVA RUSSAS";1452
"230940 NOVO ORIENTE";482
"230945 OCARA";169
"230950 OROS";420
"230960 PACAJUS";432
"230970 PACATUBA";135
"230980 PACOTI";45
"231010 PALMACIA";29
"231020 PARACURU";394
"231025 PARAIPABA";266
"231030 PARAMBU";973
"231040 PARAMOTI";137
"231050 PEDRA BRANCA";545
"231060 PENAFORTE";96
"231070 PENTECOSTE";418
"231080 PEREIRO";325
"231085 PINDORETAMA";140
"231090 PIQUET CARNEIRO";253
"231100 PORANGA";94
"231110 PORTEIRAS";277
"231120 POTENGI";133
"231126 QUITERIANOPOLIS";123
"231130 QUIXADA";3987
"231135 QUIXELO";382
"231140 QUIXERAMOBIM";6970
"231150 QUIXERE";232
"231160 REDENCAO";849
"231170 RERIUTABA";176
"231180 RUSSAS";3985
"231190 SABOEIRO";230
"231195 SALITRE";188
"231200 SANTANA DO ACARAU";395
"231210 SANTANA DO CARIRI";142
"231220 SANTA QUITERIA";509
"231230 SAO BENEDITO";753
"231240 SAO GONCALO DO AMARANTE";2000
"231260 SAO LUIS DO CURU";18
"231270 SENADOR POMPEU";339
"231290 SOBRAL";25536
"231300 SOLONOPOLE";231
"231310 TABULEIRO DO NORTE";975
"231320 TAMBORIL";633
"231325 TARRAFAS";51
"231330 TAUA";8649
"231335 TEJUCUOCA";66
"231340 TIANGUA";5831
"231350 TRAIRI";470
"231355 TURURU";41
"231360 UBAJARA";491
"231370 UMARI";67
"231375 UMIRIM";32
"231380 URUBURETAMA";108
"231390 URUOCA";24
"231395 VARJOTA";212
"231400 VARZEA ALEGRE";2549
"231410 VICOSA DO CEARA";1336
"240020 ACU";1354
"240050 ALEXANDRIA";3268
"240060 ALMINO AFONSO";1631
"240070 ALTO DO RODRIGUES";90
"240080 ANGICOS";184
"240090 ANTONIO MARTINS";236
"240100 APODI";862
"240110 AREIA BRANCA";325
"240145 BARAUNA";233
"240180 BREJINHO";56
"240200 CAICO";3992
"240230 CARAUBAS";276
"240240 CARNAUBA DOS DANTAS";12
"240250 CARNAUBAIS";27
"240260 CEARA-MIRIM";2652
"240270 CERRO CORA";53
"240290 CORONEL JOAO PESSOA";12
"240310 CURRAIS NOVOS";2757
"240320 DOUTOR SEVERIANO";73
"240325 PARNAMIRIM";5610
"240330 ENCANTO";19
"240340 EQUADOR";68
"240360 EXTREMOZ";183
"240370 FELIPE GUERRA";25
"240400 FRUTUOSO GOMES";83
"240420 GOIANINHA";143
"240450 GUAMARE";488
"240520 JANDUIS";106
"240530 JANUARIO CICCO";37
"240560 JARDIM DE PIRANHAS";134
"240570 JARDIM DO SERIDO";600
"240580 JOAO CAMARA";738
"240600 JOSE DA PENHA";86
"240610 JUCURUTU";455
"240650 LAGOA NOVA";13
"240670 LAJES";147
"240690 LUCRECIA";69
"240710 MACAIBA";1073
"240720 MACAU";335
"240725 MAJOR SALES";38
"240740 MARTINS";123
"240760 MESSIAS TARGINO";80
"240780 MONTE ALEGRE";208
"240800 MOSSORO";17178
"240810 NATAL";64367
"240830 NOVA CRUZ";226
"240890 PARELHAS";186
"240910 PASSA E FICA";164
"240930 PATU";106
"240940 PAU DOS FERROS";4060
"240980 PEDRO VELHO";47
"240990 PENDENCIAS";119
"241000 PILOES";21
"241020 PORTALEGRE";33
"241030 SERRA CAIADA";26
"241060 RAFAEL GODEIRO";122
"241070 RIACHO DA CRUZ";57
"241100 RODOLFO FERNANDES";9
"241120 SANTA CRUZ";3693
"241140 SANTANA DO MATOS";79
"241142 SANTANA DO SERIDO";17
"241150 SANTO ANTONIO";1683
"241200 SAO GONCALO DO AMARANTE";2244
"241220 SAO JOSE DE MIPIBU";2419
"241230 SAO JOSE DO CAMPESTRE";68
"241240 SAO JOSE DO SERIDO";38
"241250 SAO MIGUEL";102
"241260 SAO PAULO DO POTENGI";392
"241280 SAO RAFAEL";62
"241300 SAO VICENTE";32
"241330 SERRA DE SAO BENTO";9
"241335 SERRA DO MEL";71
"241340 SERRA NEGRA DO NORTE";58
"241355 SERRINHA DOS PINTOS";45
"241360 SEVERIANO MELO";34
"241380 TABOLEIRO GRANDE";23
"241400 TANGARA";13
"241410 TENENTE ANANIAS";952
"241420 TIBAU DO SUL";45
"241440 TOUROS";277
"241445 TRIUNFO POTIGUAR";20
"241450 UMARIZAL";29
"241460 UPANEMA";54
"241475 VENHA-VER";11
"250010 AGUA BRANCA";110
"250030 ALAGOA GRANDE";125
"250040 ALAGOA NOVA";251
"250070 SAO JOAO DO RIO DO PEIXE";165
"250110 AREIA";102
"250130 AROEIRAS";114
"250150 BANANEIRAS";207
"250180 BAYEUX";638
"250190 BELEM";340
"250200 BELEM DO BREJO DO CRUZ";42
"250230 BOM SUCESSO";17
"250240 BONITO DE SANTA FE";105
"250250 BOQUEIRAO";176
"250280 BREJO DO CRUZ";99
"250300 CAAPORA";127
"250320 CABEDELO";869
"250350 CACIMBA DE DENTRO";24
"250370 CAJAZEIRAS";5214
"250400 CAMPINA GRANDE";37778
"250430 CATOLE DO ROCHA";2156
"250440 CONCEICAO";299
"250480 COREMAS";452
"250510 CUITE";342
"250600 ESPERANCA";285
"250630 GUARABIRA";3154
"250690 ITABAIANA";1446
"250700 ITAPORANGA";1120
"250710 ITAPOROROCA";86
"250740 JERICO";36
"250750 JOAO PESSOA";55635
"250770 JUAZEIRINHO";60
"250800 JURU";121
"250830 LAGOA SECA";168
"250890 MAMANGUAPE";3391
"250920 MASSARANDUBA";24
"250970 MONTEIRO";1993
"251080 PATOS";9027
"251090 PAULISTA";165
"251110 PEDRA LAVRADA";180
"251120 PEDRAS DE FOGO";382
"251130 PIANCO";812
"251140 PICUI";1753
"251200 POCINHOS";41
"251210 POMBAL";2679
